ERROR [2021-01-26 10:02:22] Please check the config file!
WARN [2021-01-26 10:15:38] Error in FindMarkers.default(object = data.use, slot = data.slot, counts = counts, : Cell group 2 has fewer than 3 cells

WARN [2021-01-26 10:16:08] Error in FindMarkers.default(object = data.use, slot = data.slot, counts = counts, : Cell group 2 is empty - no cells with identity class 

WARN [2021-01-26 10:17:13] Error in FindMarkers.default(object = data.use, slot = data.slot, counts = counts, : Cell group 2 is empty - no cells with identity class 

WARN [2021-01-26 10:17:43] Error in FindMarkers.default(object = data.use, slot = data.slot, counts = counts, : Cell group 1 has fewer than 3 cells

WARN [2021-01-26 10:18:13] Error in WhichCells.Seurat(object = object, idents = ident.1): Cannot find the following identities in the object: CALR deletion #34-1

WARN [2021-01-26 10:19:10] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:11] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:12] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:19:12] GO LIST is EMPTY
WARN [2021-01-26 10:20:31] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:20:52] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

WARN [2021-01-26 10:20:52] Error in .testForValidKeys(x, keys, keytype, fks): None of the keys entered are valid keys for 'SYMBOL'. Please use the keys method to see a listing of valid arguments.

